id,name,description,icon_name,category,rarity,criteria,points_reward,voltz_reward,is_active,is_secret,unlock_order,prerequisite_achievement_ids,created_at,updated_at
05d7a7d9-e9a3-4e1e-be39-178fa0a3b119,Onboarding Graduate,Completed all post-onboarding steps,award,milestone,uncommon,"{""onboarding_step"":""complete_onboarding""}",0,500,true,false,0,,2025-09-01 11:16:16.95877+00,2025-09-01 11:16:16.95877+00
08f8e008-8d69-4981-b5a9-95eb99bfb8c2,Accuracy Ace,Maintain 80%+ quiz accuracy over 20 quizzes,target,skill,rare,"{""action"":""quiz_accuracy"",""percentage"":80,""minimum_quizzes"":20}",0,350,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
1d79beee-e212-4755-818d-ff2be1793296,Regular Contributor,Publish 10 insights,edit,milestone,uncommon,"{""action"":""insights_published"",""target"":10}",0,500,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
22247a20-d26d-4f63-a5c5-466adbc63213,The Debutante,Get your first like on published content,heart,engagement,common,"{""action"":""first_like_received""}",0,150,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
2fd40071-a550-4668-8e2e-f886252fd094,Chatty Cathy,Leave 50 comments,message-circle-multiple,engagement,uncommon,"{""action"":""comments_made"",""target"":50}",0,300,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
57870cf9-9473-49f1-845f-6dd955df4dd9,Daily Devotee,Log in for 7 consecutive days,calendar,streak,common,"{""action"":""login_streak"",""target"":7}",0,125,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
77f8ceb5-cb79-44e8-80bd-4891ad0da65f,First Words,Publish your first insight,edit-3,completion,common,"{""action"":""first_insight""}",0,200,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
95a6fb0b-94cf-4434-8c48-111bc24a15a3,Community Member,Joined the conversation by commenting or liking,users,social,common,"{""onboarding_step"":""join_conversation""}",0,100,true,false,0,,2025-09-01 11:16:16.95877+00,2025-09-01 11:16:16.95877+00
9b3d27cd-2ff1-47e5-baff-bdd9ea17b757,Profile Master,Completed your profile information,user-check,completion,common,"{""onboarding_step"":""complete_profile""}",0,150,true,false,0,,2025-09-01 11:16:16.95877+00,2025-09-01 11:16:16.95877+00
9d37725b-3d95-4003-bfbc-a8ba03df5b99,Creature of Habit,Maintain a 30-day login streak,calendar-heart,streak,rare,"{""action"":""login_streak"",""target"":30}",0,400,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
a7a0bc91-0427-4b55-9e72-8d9a601f912b,Leaderboard Climber,Break into top 100 users,trophy,milestone,uncommon,"{""action"":""leaderboard_position"",""target"":100}",0,300,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
aab7d14c-2f5c-420a-944f-907140613520,Cross-Platform Pioneer,Share to 3 different social platforms,globe,social,uncommon,"{""action"":""multi_platform_share"",""target"":3}",0,300,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
b0590dde-f36f-4c02-b655-c64bb1dfbb8b,Crowd Pleaser,Get 50 total likes on your content,heart-circle,engagement,uncommon,"{""action"":""total_likes_received"",""target"":50}",0,400,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
ba554c9d-9082-4319-b63b-57269d61d82a,Profile Perfectionist,Complete your profile 100%,user-check,completion,common,"{""action"":""profile_completion"",""percentage"":100}",0,150,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
c0a9ec41-474c-4cdc-a900-30dc1884d81b,Wingman Activated,Invite your first friend,users,social,common,"{""action"":""first_invite""}",0,375,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
c3e9e568-9f28-4d99-80af-5e39e8971e63,Supercharge Rookie,Use voltz points to supercharge your first post,zap,completion,uncommon,"{""action"":""first_supercharge""}",0,300,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
c7732cbc-20ea-4de7-adf7-54ad3692d4dc,Knowledge Sharer,Shared your first insight with the community,share,social,common,"{""onboarding_step"":""share_knowledge""}",0,200,true,false,0,,2025-09-01 11:16:16.95877+00,2025-09-01 11:16:16.95877+00
ca0be54d-5d31-401a-8f10-5b29d705eebd,Quiz Curious,Complete your first quiz,help-circle,learning,common,"{""action"":""first_quiz""}",0,100,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
cc91e60f-f2d6-4cae-8174-6365eee02f29,Viral Virtuoso,Get 100+ likes on a shared post,heart,social,rare,"{""action"":""viral_content"",""target"":100}",0,600,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
ccc274bc-0544-4ab3-9639-1ae68c26725c,The Social Butterfly,Share your first post to social media,share,social,common,"{""action"":""first_share""}",0,250,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
dc9b61cb-8de2-436a-b7e6-66299432f068,Platform Explorer,Explored and engaged with the main feed,compass,completion,common,"{""onboarding_step"":""explore_engage""}",0,100,true,false,0,,2025-09-01 11:16:16.95877+00,2025-09-01 11:16:16.95877+00
e2b7f041-7928-4fa6-8558-75412f2f828e,The Recruiter,Successfully invite 5 friends who join,user-plus,social,epic,"{""action"":""successful_invites"",""target"":5}",0,1000,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
e813af22-e751-400d-a20b-515fda504717,Engagement Enthusiast,Like 100 posts,heart-multiple,engagement,uncommon,"{""action"":""likes_given"",""target"":100}",0,200,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
ec7ac7c6-4cd5-4f41-a79a-5ada0b9e2387,Link Dropper,Share your profile link 5 times,link,social,common,"{""action"":""profile_shares"",""target"":5}",0,200,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
f9bfe606-478c-429f-80ea-ab05e21fbb47,The Supporter,Like your first post,heart,completion,common,"{""action"":""first_like_given""}",0,50,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
fe8521f5-742d-4b6e-a80c-31e636af7950,Quiz Whiz,Complete 25 quizzes,brain,learning,uncommon,"{""action"":""quizzes_completed"",""target"":25}",0,250,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
ffd58ea2-6ce6-46c1-ae36-eb0351bb0377,Conversation Starter,Leave your first comment,message-circle,completion,common,"{""action"":""first_comment""}",0,75,true,false,0,,2025-08-31 17:01:09.735894+00,2025-08-31 17:01:09.735894+00
